chen_sample_label,sample,assay,assay_set,treatment,rep,timept,total_raw_count
hBFA1-21C-R1-Time8,hBFA1:21C-R1-8,hBFA1:21C-R1,hBFA1,21C,R1,8,1917150
hBFA1-21C-R1-Time16,hBFA1:21C-R1-16,hBFA1:21C-R1,hBFA1,21C,R1,16,2168035
hBFA1-21C-R1-Time24,hBFA1:21C-R1-24,hBFA1:21C-R1,hBFA1,21C,R1,24,2068099
hBFA1-21C-R1-Time40,hBFA1:21C-R1-40,hBFA1:21C-R1,hBFA1,21C,R1,40,2118452
hBFA1-21C-R2-Time8,hBFA1:21C-R2-8,hBFA1:21C-R2,hBFA1,21C,R2,8,2111700
hBFA1-21C-R2-Time16,hBFA1:21C-R2-16,hBFA1:21C-R2,hBFA1,21C,R2,16,2150472
hBFA1-21C-R2-Time24,hBFA1:21C-R2-24,hBFA1:21C-R2,hBFA1,21C,R2,24,2022493
hBFA1-21C-R2-Time40,hBFA1:21C-R2-40,hBFA1:21C-R2,hBFA1,21C,R2,40,2465801
hBFA1-37C-R1-Time8,hBFA1:37C-R1-8,hBFA1:37C-R1,hBFA1,37C,R1,8,1816186
hBFA1-37C-R1-Time16,hBFA1:37C-R1-16,hBFA1:37C-R1,hBFA1,37C,R1,16,1992657
hBFA1-37C-R1-Time24,hBFA1:37C-R1-24,hBFA1:37C-R1,hBFA1,37C,R1,24,2071290
hBFA1-37C-R1-Time40,hBFA1:37C-R1-40,hBFA1:37C-R1,hBFA1,37C,R1,40,2032937
hBFA1-37C-R2-Time8,hBFA1:37C-R2-8,hBFA1:37C-R2,hBFA1,37C,R2,8,2408886
hBFA1-37C-R2-Time16,hBFA1:37C-R2-16,hBFA1:37C-R2,hBFA1,37C,R2,16,2371746
hBFA1-37C-R2-Time24,hBFA1:37C-R2-24,hBFA1:37C-R2,hBFA1,37C,R2,24,1886703
hBFA1-37C-R2-Time40,hBFA1:37C-R2-40,hBFA1:37C-R2,hBFA1,37C,R2,40,2169673
hBFA1-48Hr-R1-Time8,hBFA1:48Hr-R1-8,hBFA1:48Hr-R1,hBFA1,48Hr,R1,8,1374578
hBFA1-48Hr-R1-Time16,hBFA1:48Hr-R1-16,hBFA1:48Hr-R1,hBFA1,48Hr,R1,16,2073939
hBFA1-48Hr-R1-Time24,hBFA1:48Hr-R1-24,hBFA1:48Hr-R1,hBFA1,48Hr,R1,24,1913013
hBFA1-48Hr-R1-Time40,hBFA1:48Hr-R1-40,hBFA1:48Hr-R1,hBFA1,48Hr,R1,40,2727518
hBFA1-48Hr-R2-Time8,hBFA1:48Hr-R2-8,hBFA1:48Hr-R2,hBFA1,48Hr,R2,8,2527232
hBFA1-48Hr-R2-Time16,hBFA1:48Hr-R2-16,hBFA1:48Hr-R2,hBFA1,48Hr,R2,16,2122894
hBFA1-48Hr-R2-Time24,hBFA1:48Hr-R2-24,hBFA1:48Hr-R2,hBFA1,48Hr,R2,24,2181970
hBFA1-48Hr-R2-Time40,hBFA1:48Hr-R2-40,hBFA1:48Hr-R2,hBFA1,48Hr,R2,40,2019366
hBFA1-FLC4-R2-Time8,hBFA1:FLC4-R2-8,hBFA1:FLC4-R2,hBFA1,FLC4,R2,8,810857
hBFA1-FLC4-R2-Time16,hBFA1:FLC4-R2-16,hBFA1:FLC4-R2,hBFA1,FLC4,R2,16,338485
hBFA1-FLC4-R2-Time24,hBFA1:FLC4-R2-24,hBFA1:FLC4-R2,hBFA1,FLC4,R2,24,450288
hBFA1-FLC4-R2-Time40,hBFA1:FLC4-R2-40,hBFA1:FLC4-R2,hBFA1,FLC4,R2,40,501961
hBFA1-GlyEtOH-R1-Time8,hBFA1:GlyEtOH-R1-8,hBFA1:GlyEtOH-R1,hBFA1,GlyEtOH,R1,8,1648916
hBFA1-GlyEtOH-R1-Time16,hBFA1:GlyEtOH-R1-16,hBFA1:GlyEtOH-R1,hBFA1,GlyEtOH,R1,16,1563435
hBFA1-GlyEtOH-R1-Time24,hBFA1:GlyEtOH-R1-24,hBFA1:GlyEtOH-R1,hBFA1,GlyEtOH,R1,24,1157783
hBFA1-GlyEtOH-R1-Time40,hBFA1:GlyEtOH-R1-40,hBFA1:GlyEtOH-R1,hBFA1,GlyEtOH,R1,40,2457444
hBFA1-GlyEtOH-R2-Time8,hBFA1:GlyEtOH-R2-8,hBFA1:GlyEtOH-R2,hBFA1,GlyEtOH,R2,8,1729100
hBFA1-GlyEtOH-R2-Time16,hBFA1:GlyEtOH-R2-16,hBFA1:GlyEtOH-R2,hBFA1,GlyEtOH,R2,16,3351420
hBFA1-GlyEtOH-R2-Time24,hBFA1:GlyEtOH-R2-24,hBFA1:GlyEtOH-R2,hBFA1,GlyEtOH,R2,24,2923374
hBFA1-GlyEtOH-R2-Time40,hBFA1:GlyEtOH-R2-40,hBFA1:GlyEtOH-R2,hBFA1,GlyEtOH,R2,40,2283582
hBFA1-SC-R1-Time8,hBFA1:SC-R1-8,hBFA1:SC-R1,hBFA1,SC,R1,8,1575308
hBFA1-SC-R1-Time16,hBFA1:SC-R1-16,hBFA1:SC-R1,hBFA1,SC,R1,16,1552685
hBFA1-SC-R1-Time24,hBFA1:SC-R1-24,hBFA1:SC-R1,hBFA1,SC,R1,24,1584986
hBFA1-SC-R1-Time40,hBFA1:SC-R1-40,hBFA1:SC-R1,hBFA1,SC,R1,40,1558740
hBFA1-SC-R2-Time8,hBFA1:SC-R2-8,hBFA1:SC-R2,hBFA1,SC,R2,8,1883034
hBFA1-SC-R2-Time16,hBFA1:SC-R2-16,hBFA1:SC-R2,hBFA1,SC,R2,16,1737092
hBFA1-SC-R2-Time24,hBFA1:SC-R2-24,hBFA1:SC-R2,hBFA1,SC,R2,24,1867711
hBFA1-SC-R2-Time40,hBFA1:SC-R2-40,hBFA1:SC-R2,hBFA1,SC,R2,40,1759607
hBFA1-YPD-R1-Time8,hBFA1:YPD-R1-8,hBFA1:YPD-R1,hBFA1,YPD,R1,8,1328214
hBFA1-YPD-R1-Time16,hBFA1:YPD-R1-16,hBFA1:YPD-R1,hBFA1,YPD,R1,16,1884894
hBFA1-YPD-R1-Time24,hBFA1:YPD-R1-24,hBFA1:YPD-R1,hBFA1,YPD,R1,24,3388195
hBFA1-YPD-R1-Time40,hBFA1:YPD-R1-40,hBFA1:YPD-R1,hBFA1,YPD,R1,40,1850120
hBFA1-YPD-R2-Time8,hBFA1:YPD-R2-8,hBFA1:YPD-R2,hBFA1,YPD,R2,8,1712142
hBFA1-YPD-R2-Time16,hBFA1:YPD-R2-16,hBFA1:YPD-R2,hBFA1,YPD,R2,16,1996011
hBFA1-YPD-R2-Time24,hBFA1:YPD-R2-24,hBFA1:YPD-R2,hBFA1,YPD,R2,24,1847952
hBFA1-YPD-R2-Time40,hBFA1:YPD-R2-40,hBFA1:YPD-R2,hBFA1,YPD,R2,40,2023457
hBFA1-pH3_8-R1-Time8,hBFA1:pH3.8-R1-8,hBFA1:pH3.8-R1,hBFA1,pH3.8,R1,8,1952835
hBFA1-pH3_8-R1-Time16,hBFA1:pH3.8-R1-16,hBFA1:pH3.8-R1,hBFA1,pH3.8,R1,16,2204561
hBFA1-pH3_8-R1-Time24,hBFA1:pH3.8-R1-24,hBFA1:pH3.8-R1,hBFA1,pH3.8,R1,24,2539318
hBFA1-pH3_8-R1-Time40,hBFA1:pH3.8-R1-40,hBFA1:pH3.8-R1,hBFA1,pH3.8,R1,40,2296210
hBFA1-pH3_8-R2-Time8,hBFA1:pH3.8-R2-8,hBFA1:pH3.8-R2,hBFA1,pH3.8,R2,8,1711136
hBFA1-pH3_8-R2-Time16,hBFA1:pH3.8-R2-16,hBFA1:pH3.8-R2,hBFA1,pH3.8,R2,16,2404233
hBFA1-pH3_8-R2-Time24,hBFA1:pH3.8-R2-24,hBFA1:pH3.8-R2,hBFA1,pH3.8,R2,24,2823044
hBFA1-pH3_8-R2-Time40,hBFA1:pH3.8-R2-40,hBFA1:pH3.8-R2,hBFA1,pH3.8,R2,40,3102324
hBFA1-pH7_3-R1-Time8,hBFA1:pH7.3-R1-8,hBFA1:pH7.3-R1,hBFA1,pH7.3,R1,8,2499948
hBFA1-pH7_3-R1-Time16,hBFA1:pH7.3-R1-16,hBFA1:pH7.3-R1,hBFA1,pH7.3,R1,16,2244076
hBFA1-pH7_3-R1-Time24,hBFA1:pH7.3-R1-24,hBFA1:pH7.3-R1,hBFA1,pH7.3,R1,24,2563277
hBFA1-pH7_3-R1-Time40,hBFA1:pH7.3-R1-40,hBFA1:pH7.3-R1,hBFA1,pH7.3,R1,40,2719186
hBFA1-pH7_3-R2-Time8,hBFA1:pH7.3-R2-8,hBFA1:pH7.3-R2,hBFA1,pH7.3,R2,8,2757245
hBFA1-pH7_3-R2-Time16,hBFA1:pH7.3-R2-16,hBFA1:pH7.3-R2,hBFA1,pH7.3,R2,16,2680456
hBFA1-pH7_3-R2-Time24,hBFA1:pH7.3-R2-24,hBFA1:pH7.3-R2,hBFA1,pH7.3,R2,24,2585981
hBFA1-pH7_3-R2-Time40,hBFA1:pH7.3-R2-40,hBFA1:pH7.3-R2,hBFA1,pH7.3,R2,40,2769573
